Brand,Price,Rating,Ratings Count,Condition,Seller Note,Processor,Screen Size,Manufacturer Color,Color,Ram Size,SSD Capacity,GPU,Processor Speed,Type,Release Year,Maximum Resolution,Model,OS,Features,Hard Drive Capacity,Country Region Of Manufacture,Storage Type,,,,,,
CHUWI,$303.68 ,NA,NA,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is ...  Read moreabout the conditionNew: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. See all condition definitionsopens in a new window or tab ",NA,Quad Core,14 in,NA,Gray,8 GB,"1 Used,  1 support Max 1TB M.2 Extend",Intel Iris Plus Graphics 655,Max up to 3.80 GHz,Notebook/Laptop,2021,2160 x 1440,CoreBook X,Windows 11 Home,"Backlit Keyboard,  Built-in Microphone,  Built-in Webcam",512 GB SSD,China,SSD (Solid State Drive),,,TRENDING LAPTOP SALES TOTAL,,,
Dell,$399.99 to $634.99,NA,NA,"Very Good - RefurbishedThe item shows minimal wear and is backed by a one year warranty. It is fully functional and has been professionally refurbished,  inspected and cleaned to very good condition by qualified sellers. The item includes original or new accessories and will come in new generic packaging. See the seller's listing for full details. See all condition definitionsopens in a new window or tab","“AAA PCs is a Microsoft Authorized Refurbisher Partner. (MAR) Your computer will ship securely and ...  Read moreabout the seller notes“AAA PCs is a Microsoft Authorized Refurbisher Partner. (MAR) Your computer will ship securely and neatly in a new brown box to ensure a great delivery experience. Minimal imperfections may be present on the unit, such as light scuffs or light scratches. Genuine AC adapter & battery included with your order. Your order is backed by our 30 day money-back guarantee, and extended 1-year Allstate warranty.” Read Lessabout the seller notes ",Intel Core i7 8th Gen.,14 in,NA,Black,NA,NA,Intel UHD Graphics 620,4.20 GHz (1.90 GHz Base Frequency),Notebook/Laptop,Refurbished in 2023,1920 x 1080,Dell Latitude 7490,Windows 11 Pro,"Backlit Keyboard, Bluetooth, Built-in Microphone, Built-in Webcam, LTE, Multi-Touch Trackpad, Widescreen Display, Wi-Fi",2 TB,NA,SSD (Solid State Drive),,,,,,
Dell,$175.00 ,NA,NA,"UsedAn item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab","“Well kept, fully functional, includes battery, AC Adapter and power cord.”",Intel Core i5-6300U,14 in,NA,Black,16 GB,500 GB,Intel HD Graphics,2.40 GHz,Notebook/Laptop,2019,1920 x 1080,Dell Latitude E5470,Windows 10 Pro,"10/100 LAN Card, Backlit Keyboard, Bluetooth, Built-in Microphone, Built-in Webcam, Touchscreen, Widescreen Display, Wi-Fi",500 GB,China,SSD (Solid State Drive),,,,,,
HP,$84.99 ,NA,NA,"Good - RefurbishedThe item shows moderate wear and is backed by a one year warranty. It is fully functional and has been professionally refurbished, inspected and cleaned to good condition by qualified sellers. The item includes original or new accessories and will come in a new generic packaging. See the seller's listing for full details. See all condition definitionsopens in a new window or tab",“1-Year Allstate warranty. The original HP charger is included.”,Intel Celeron N,11.6 in,NA,Black,4 GB,NA,Intel HD Graphics 500,2.40 GHz,Notebook/Laptop,NA,1366 x 768,HP Chromebook 11 G6,Chrome OS,"Bluetooth, Built-in Microphone, Built-in Webcam, Widescreen Display, Wi-Fi",16 GB,NA,eMMC,,,Brand,model,price ,
Dell,$101.22 ,NA,NA,,“Laptops is tested & fully working with some sign of use (scratches and/or marks on case. May have ...  Read moreabout the seller notes“Laptops is tested & fully working with some sign of use (scratches and/or marks on case. May have scratches and spots on screen). Please Note Our Images Are An Example Of The Laptop You Will Receive. Model Numbers Will Vary.Windows 10 installed. Comes with charger and power lead.” Read Lessabout the seller notes ,Intel Core i5 6th Gen.,"Minimum 12.5""",NA,NA,8 GB,256 GB,Integrated,Minimum 1.40 GHz,Notebook/Laptop,2015,1366 x 768,Various Models,Windows 10,"10/100 LAN Card, Built-in Microphone, Built-in Webcam, Wi-Fi",NO HDD,NA,SSD (Solid State Drive),,,CHUWI,Quad Core,303.68,
Acer,$49.99 ,4.5 out of 5 stars,193,NA,NA,Intel Celeron,11.6 in,Black,Black,4 GB,16 GB,NA,1.60 GHz,Laptop,2017,1366 x 768,Chromebook C738T-C44Z,Chrome OS,"Touchscreen, Bluetooth",NA,NA,SSD (Solid State Drive),,,HP,Intel Celeron N,84.99,
HP,$39.59 ,4.5 out of 5 stars,23,NA,NA,Intel Celeron,11.6 in,NA,Black,4 GB,16GB,NA,1.60 GHz,Notebook/Laptop,2017,NA,HP Chromebook 11 G5,Chrome OS,"Bluetooth, Built-in Webcam",16 GB,NA,SSD (Solid State Drive),,,Lenovo,"8350U,  Core i5",138,
Acer,$34.99 ,5 out of 5 stars,20,NA,NA,Intel Celeron Dual-Core,11.6 inin,NA,"Gray, Granite Gray",2GB,NA,NA,1.00 GHz.4ghz,Netbook,NA,NA,Chromebook C720-2848,Chrome OS,NA,16GB,NA,NA,,,Microsoft,Intel Core i5 4th Gen.,59.99,
Dell,$279.99 ,NA,NA,"Excellent - Refurbished: The item is in like-new condition, backed by a one year warranty. It has ...  Read moreabout the conditionExcellent - Refurbished: The item is in like-new condition, backed by a one year warranty. It has been professionally refurbished, inspected and cleaned to excellent condition by qualified sellers. The item includes original or new accessories and will come in new generic packaging. See the seller's listing for full details. See all condition definitionsopens in a new window or tab ",NA,i7 7th,14 in,NA,Black,16 GB,500 GB,NA,2.80 GHz,Notebook/Laptop,NA,1920 x 1080,Dell Latitude 7480,win 11 pro,Wi-Fi,512 GB,NA,SSD (Solid State Drive),,,,,,
HP,$125.00 ,5 out of 5 stars,5,NA,NA,Intel Core i3 10th Gen.,14 in,Mineral Silver,Silver,8 GB,64 GB,Intel UHD Graphics,2.10 GHz,Notebook/Laptop,2020,1920 x 1080,Samsung Chromebook 3,Chrome OS,"Touchscreen, Bluetooth, Built-in Webcam, Wi-Fi, Backlit Keyboard, Built-in Microphone",NA,NA,eMMC,,,,Grand total,586.66,
